strategy,CAGR,vol,Sharpe,Sortino,maxDD,DSR
buy_and_hold,0.2256411326114085,0.16382326106172887,1.3246138906993994,1.7475218199672429,-0.15475452163577785,0.9894033596823231
equal_weight,0.2009081779790356,0.1478657610218756,1.312722406199098,1.7054682415950342,-0.1487762438218242,0.9885006723408297
top_ew[price_only],0.22822966481135865,0.1935535666518846,1.1595162618600536,1.5528770840829869,-0.17817367996516076,0.9741158715713902
top_ew[price+sentiment],0.20442738402063165,0.1940261528194402,1.0562136395836283,1.4057975130447284,-0.1854111035646263,0.9563263950138935
top_rp[price_only],0.18723234224227525,0.18344163207538786,1.0278431317975985,1.3533724906881497,-0.17886438257151116,0.9494789307216618
top_rp[price+sentiment],0.15886026374845819,0.18517689882642951,0.8891662936180513,1.1888619457983083,-0.20956053569745858,0.9073911925010798
top_mv[price+sentiment],0.15331938463196226,0.19651407121452663,0.8244754185164936,1.1297984212561305,-0.27450767103389884,0.8802050884882993
top_mv[price_only],0.1311940071049209,0.20051010182837686,0.7155628762233092,0.9282110371191105,-0.22171079227071644,0.820344989430062
