strategy,regime,days,CAGR,vol,Sharpe,maxDD
equal_weight,high_vol,698,0.14787086122555948,0.17898487632223736,0.8605615942934213,-0.1460633785891995
equal_weight,calm,698,0.2669311974240334,0.10481079300562174,2.3107705027012684,-0.09259056254187414
buy_and_hold,high_vol,698,0.15804350051388227,0.19760384839408346,0.8419901718086759,-0.14715287698762014
buy_and_hold,calm,698,0.3088260235335154,0.11857876114745014,2.329999738391233,-0.10130548418133978
top_ew[price_only],high_vol,698,0.14177616380193525,0.23052123093901136,0.6909061206044308,-0.19474445359374004
top_ew[price_only],calm,698,0.37556030704649723,0.13855894941079933,2.37189012928036,-0.09501192336253361
top_mv[price_only],high_vol,698,0.1581071003591794,0.23763429591534127,0.7372866012928906,-0.2531767163275175
top_mv[price_only],calm,698,0.15220289876794513,0.14545172241058205,1.0470542451689804,-0.17282454076337217
top_rp[price_only],high_vol,698,0.11792737314703583,0.2188021868619113,0.6193694837232036,-0.18701254292369518
top_rp[price_only],calm,698,0.30767798822728043,0.12920832336526133,2.1417815767048034,-0.09597971656699533
top_ew[price+sentiment],high_vol,698,0.17372516434851093,0.23228639540881915,0.8062992850508132,-0.2055511772127948
top_ew[price+sentiment],calm,698,0.2820090367613799,0.13793278963261607,1.870866290804021,-0.13787215160536315
top_mv[price+sentiment],high_vol,698,0.19319838792688704,0.22832645604811028,0.8883026714622347,-0.20930302008297863
top_mv[price+sentiment],calm,698,0.14916269255491033,0.1502592934314246,1.0007686991223572,-0.23670936285435829
top_rp[price+sentiment],high_vol,698,0.13512508488053898,0.2217629373450961,0.6828613951531197,-0.2283549446520856
top_rp[price+sentiment],calm,698,0.21816616967768376,0.13031782391158242,1.5800894640867722,-0.14338145227947197
