horizon_days,profile,rows,price_only,price+sentiment,delta
1,balanced,24996,0.00277730331504089,0.0065163193424303215,0.0037390160273894314
1,regularised,24996,0.00247849610000653,0.0038092293326050983,0.0013307332325985682
1,aggressive,24996,0.008363899921140793,0.00542512200318186,-0.002938777917958933
5,balanced,24936,-0.0008492364007896645,-0.006407841120814543,-0.005558604720024879
5,regularised,24936,-0.007697586570235365,-0.008444175210943839,-0.0007465886407084735
5,aggressive,24936,0.0050102744915858834,0.0023497705144816653,-0.002660503977104218
10,balanced,24861,-0.008619025901634596,0.009308825232738275,0.01792785113437287
10,regularised,24861,-0.0035233968929621108,0.001869851163329424,0.005393248056291535
10,aggressive,24861,-0.0019288320375276911,0.008481337503076633,0.010410169540604324
20,balanced,24711,0.021775634951474172,0.02496971872450745,0.0031940837730332766
20,regularised,24711,0.034478863375220783,0.037008140214951926,0.0025292768397311427
20,aggressive,24711,0.01237541863233436,0.019850366152492593,0.007474947520158233
